"Id","VirtualMenuStar","OrderingProcessStar","OnlinePaymentStar","OtherComments","UserOrderId","CreatedDate"
529,5,5,5,,8428,2021-04-18T00:32:53.252696Z
528,5,5,5,,8427,2021-04-18T00:08:37.987221Z
527,4,4,3,Every time you press back it starts from scratch. Need cash payment option,8419,2021-04-17T23:50:12.338422Z
526,5,5,5,,8416,2021-04-17T23:41:16.095262Z
525,5,5,5,,8411,2021-04-17T23:29:58.810385Z
524,3,4,4,,8407,2021-04-17T23:25:19.32032Z
523,5,5,5,,8395,2021-04-17T22:42:42.799885Z
522,1,1,1,,8379,2021-04-17T21:56:48.787672Z
521,5,5,5,,8380,2021-04-17T21:55:20.872268Z
520,5,5,5,,8378,2021-04-17T21:36:53.030762Z
519,5,5,5,,8357,2021-04-17T20:26:29.623009Z
518,5,5,5,,8344,2021-04-17T19:56:05.16699Z
517,5,5,5,,8339,2021-04-17T19:44:03.396203Z
516,5,5,5,,8333,2021-04-17T18:23:59.774884Z
515,5,5,5,,8329,2021-04-17T03:48:47.886851Z
514,5,5,5,,8320,2021-04-17T01:22:00.832863Z
513,5,5,5,,8319,2021-04-17T01:19:41.993164Z
512,5,5,5,,8318,2021-04-17T01:11:22.05107Z
511,5,1,5,After ordering it took 10 min to process and then another 10 minutes for two ice creams. An extremely suboptimal system. ,8313,2021-04-17T00:56:55.697879Z
510,1,1,2,,8311,2021-04-17T00:44:25.581443Z
509,5,5,5,,8312,2021-04-17T00:42:14.835896Z
508,5,5,5,,8306,2021-04-17T00:27:06.501492Z
507,5,5,5,,8288,2021-04-16T23:05:08.00715Z
506,4,4,2,,8279,2021-04-16T22:11:33.129977Z
505,5,5,5,,8270,2021-04-16T20:48:56.545483Z
504,5,5,5,,8268,2021-04-16T20:27:19.366019Z
503,3,3,4,,8264,2021-04-16T19:26:53.550791Z
502,5,5,5,,8259,2021-04-16T18:58:57.656815Z
501,4,1,1,,8258,2021-04-16T18:55:35.656494Z
500,4,4,4,,8257,2021-04-16T18:50:04.555486Z
499,5,5,5,,8256,2021-04-16T18:48:58.897818Z
498,5,5,5,,8255,2021-04-16T18:45:22.97341Z
497,5,5,5,,8252,2021-04-16T03:29:23.848383Z
496,5,5,5,,8243,2021-04-16T01:25:37.037742Z
495,5,5,4,,8230,2021-04-15T23:46:47.136881Z
494,5,5,5,,8229,2021-04-15T22:47:03.98644Z
493,4,4,4,"More detail for all of the dishes
Photos for all of the dishes
Option to check how you would like to be contacted.
Would like option to pay in person. Found credit card pop up window to small - took numerous times to make work ",8208,2021-04-15T18:57:24.167246Z
492,5,5,5,,8207,2021-04-15T18:25:44.870434Z
491,5,5,5,,8203,2021-04-15T01:57:40.644053Z
490,5,5,5,,8200,2021-04-15T00:58:12.713942Z
489,5,5,5,,8196,2021-04-15T00:49:51.372399Z
488,3,3,3,You forgot to put fries on the online menu,8194,2021-04-15T00:44:32.190544Z
487,5,5,5,,8192,2021-04-15T00:38:13.617043Z
486,5,5,5,,8189,2021-04-14T23:54:39.121852Z
485,5,5,5,,8187,2021-04-14T23:39:54.255143Z
484,5,5,5,,8186,2021-04-14T23:37:01.432553Z
483,5,5,5,,8176,2021-04-14T21:49:00.719136Z
482,5,5,5,,8174,2021-04-14T21:39:35.975396Z
481,5,5,4,,8171,2021-04-14T21:15:18.836342Z
480,5,5,5,,8168,2021-04-14T20:22:59.56986Z
479,4,4,4,,8162,2021-04-14T19:02:05.668622Z
478,5,5,5,,8161,2021-04-14T18:48:43.758987Z
477,4,4,4,,8159,2021-04-14T18:44:12.372426Z
476,5,5,5,"Everything fine, but last time I found two lengths of thin plastic ribbon (one inch or inch and a half length) - like the material the bag that holds the rice is made of; but oh my word the food is delicious. Thank you",8158,2021-04-14T03:38:25.5957Z
475,4,4,4,,8157,2021-04-14T01:28:45.910644Z
474,5,5,5,,8139,2021-04-12T02:23:19.40364Z
473,5,5,5,,8133,2021-04-12T01:00:56.598621Z
472,5,5,5,,8131,2021-04-12T00:55:06.940018Z
471,5,5,5,,8119,2021-04-11T23:59:45.236614Z
470,5,5,5,,8109,2021-04-11T23:43:07.887795Z
